383,"Q1","KLF","BI L1","532",2,2,,
383,"Q1","KLF","BI L1","533",3,5,,
383,"Q1","KLF","BI L1","532",5,3,,
383,"Q1","LIC","GE L1","527",1,4,,
383,"Q1","LIC","GE L1","527",2,2,,
383,"Q1","LIC","GE L1","527",3,5,,
383,"Q1","LIC","GE L1","513",5,3,,
383,"Q1","WEB","M  L2","515",1,4,,
383,"Q1","WEB","M  L2","515",2,2,,
383,"Q1","WEB","M  L2","515",3,5,,
383,"Q1","WEB","M  L2","511",5,3,,
383,"Q1","AND","SW L1","526",1,4,,
383,"Q1","AND","SW L1","526",2,2,,
383,"Q1","AND","SW L1","526",3,5,,
383,"Q1","AND","SW L1","526",5,3,,
384,"Q1","EWE","D  L1","516",1,2,,
384,"Q1","EWE","D  L1","516",2,3,,
384,"Q1","EWE","D  L1","516",3,1,,
384,"Q1","EWE","D  L1","523",5,5,,
384,"Q1","NEM","E5 L2","513",1,2,,
384,"Q1","NEM","E5 L2","524",2,3,,
384,"Q1","NEM","E5 L2","524",3,1,,
384,"Q1","NEM","E5 L2","513",5,5,,
384,"Q1","BDN","EK L1","525",1,2,,
384,"Q1","BDN","EK L1","525",2,3,,
384,"Q1","BDN","EK L1","511",3,1,,
384,"Q1","BDN","EK L1","525",5,5,,
384,"Q1","KAT","ER L1","517",1,2,,
384,"Q1","KAT","ER L1","517",2,3,,
384,"Q1","KAT","ER L1","522",3,1,,
384,"Q1","KAT","ER L1","517",5,5,,
384,"Q1","KLS","M  L1","515",1,2,,
